Opportunity Id,Account,Opp Name,Account Owner,Old Use_case__c,Proposed Use_case__c (Claude),Confidence,Needs Review,Rationale,Final Use Case Type (human),Litmus Test,Evidence,Tier,EAR,Revised Use Case Type (Pass 2),Pass 2 Notes

006UY00000HIKGFYA5,Cisco,Cisco - Armorblox - AI Defense,Collin Cook,AI/ML Orchestration,AI - Processing Pipelines,Medium,TRUE,"Armorblox is Cisco's AI email/threat-security product: it runs inbound messages through AI/NLU models to detect and classify threats (phishing/BEC/fraud) - a fixed inference/classification pipeline, not an L...",,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?",Opp Name 'Cisco - Armorblox - AI Defense' (Armorblox = AI-driven email threat detection/classification); legacy Use_case__c 'AI/ML Orchestration'. ...,3,53940,,Armorblox = Cisco's AI email-threat detection; runs messages through AI models to classify threats = fixed inference pipelin…

006UY000002HJZpYAO,Nvidia,Brev - Migration,Tom Kadlick,Infrastructure applications,Infrastructure Automation & CI/CD,Low,TRUE,"Pure OSS->Temporal Cloud migration deal (""currently self hosting, will be moving workloads onto Temporal Cloud""); legacy value was 'Infrastructure applications'. Gong confirms generic 'background jobs and wo...",,"Is the primary outcome shipping/operating infra or software (deploy, provision, upgrade, rotate, rollback)?","details 'They are currently self hosting, but will be moving their workloads onto Temporal Cloud'; Gong call 8303984250850917228: 'we use Temporal ...",3,52848,,"Nvidia/Brev GPU-dev platform; pure OSS->Temporal Cloud migration, Gong = generic 'background jobs and workflows', no product…"

006UY00000L3NVTYA3,Block,KGoose - Tiles & Co-Pilot,Andrew Eidenshink,AI/ML Orchestration,AI - Agents,High,FALSE,"Block's Goose is an open-source AI agent that autonomously plans and executes multi-step software engineering tasks (builds projects, writes/executes code, debugs, orchestrates workflows, calls external APIs...",,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","details: 'Goose is an open-source, local-first AI agent... It can build entire projects from scratch, write and execute code, debug failures, orche...",1,52800,,

0065f00000Nj7Y4AAJ,Will Bank,Will Bank – Pix Transactions,Ryan Timberlake,Business Transactions,Payment Processing & Settlement,High,FALSE,"Will Bank workload processes Pix transactions (Brazil's instant payment rail). Primary outcome is money moving correctly between accounts. Opp name, details, and legacy 'Business Transactions' bucket all ali...",,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)? Includes payment gateway integrations.","details ""Process Pix Transactions"" + name ""Will Bank – Pix Transactions""; Pix = instant payment system",1,51600,,

006UY000001mfZlYAI,Motion,Motion - expansion (iCalendar Support),Mirat Tayyeb,Business processes,Data Pipelines & ETL,High,FALSE,"Opp is a Calendar Event Sync Workflow that polls and syncs iCalendar data between calendar systems; primary outcome is moving/syncing calendar data, not an LLM decision or a product order/payment flow. iCale...",,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details 'Calendar Event Sync Workflow ... added iCalendar Support'; Doc ""Motion_UseCase"": 'Syncing Calendars. They added iCalendar Support. They wi...",2,50400,,"Doc (this expansion opp): 'Calendar Event Sync Workflow... Syncing Calendars... poll the calendar', iCalendar added. Primary…"

006UY00000L3dvBYAR,Upstart,Upstart - Core Pricing PL,Ben Luger,Loan Origination,Financial Services & Lending,High,FALSE,Upstart is a lending platform; opp details explicitly state 'Loan origination - pricing workflow' and legacy type was 'Loan Origination'. Loan pricing/origination is a regulated financial product workflow be...,,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,details 'Loan origination - pricing workflow'; legacy Use_case__c 'Loan Origination'; Account Upstart (consumer lending),1,50400,,

006UY00000PlzG9YAJ,SoFi,SoFi - Communications Platform Service (CPS),Sean Dunbar,SMS & Emails,Communications & Marketing Platform,High,FALSE,Opp Details 'Communications Platform for all SoFi Services' + name 'Communications Platform Service (CPS)' + legacy 'SMS & Emails' all converge on orchestrating outbound comms across services. Linked doc was...,,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?",details 'Communications Platform for all SoFi Services'; legacy Use_case__c 'SMS & Emails',1,50400,,

006UY00000Xlna9YAB,gfx labs,gfx labs -  OkuTrade,Jesse Malik,Other,Other,Medium,TRUE,"Doc + opp fields agree: workload = OkuTrade's quote-aggregation engine — each quote is a workflow fanning out to ~15 DeFi venues, aggregating responses, long-polling status. Not Payment (no fee/settlement per quote; quote != settlement). Not ETL (real-time product query/aggregation, not data sync/load). Product-specific orchestration, no clean vertical fit.",,Doesn't cleanly fit any above; needs a free-text description.,Doc 1jZkfRQI...: 'orchestrate quote requests across ~15 backend venues; each quote is a workflow that fans out... aggregates responses'; 'No fee on the platform... Not paid per quote' (fees only on final swap).,2,50400,,

006UY00000LmAibYAF,Qualtrics,OXM Pipeline Workload,Micah Manzano,AI/ML Orchestration,AI - Processing Pipelines,High,FALSE,OXM (Omnichannel Experience Manager) pipeline ingests voice transcripts from call centers and customer-service emails and runs them through processing/enrichment to feed Insights/Explore. A fixed pipeline ru...,,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","Gong call 4213309725721189947: 'This oxm pipeline relies on voice transcripts, on call centers or email back and forth with customer service repres...",3,49992,,

0065f00000PWyprAAD,SailPoint,Sailpoint - IdentityNow Workflows,Collin Cook,Business Transactions,Other,Medium,TRUE,"SailPoint's IdentityNow 'Workflows' is a generic, customer-configurable workflow-orchestration engine (their own product) that clients use for many things (employee access provisioning, onboarding, certifica...",,Doesn't cleanly fit any above; needs a free-text description.,"details: 'They provide an orchestration engine to facilitate client workflows, backed by Temporal'; Gong call 8692547265658794591: 'some of our cus...",3,49120.92,,SailPoint = identity governance vendor. Temporal backs their IdentityNow Workflows engine - a generic customer-configurable …

006UY00000FODjUYAX,Recargapay,Recargapay - Lending Operation,Ryan Timberlake,Loan Origination,Financial Services & Lending,High,FALSE,Lending product workflow: customers apply for short-term cash loans (loan origination/underwriting). Legacy value 'Loan Origination' and details both point at a regulated financial product workflow beyond pa...,,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,"details: ""Recargapay's lending process, where customers can apply for short-term cash loans.""; legacy Use_case__c='Loan Origination'",1,48000,,

006UY00000G3dOcYAJ,"Woven by Toyota, Inc",woven workload,Michael Mah,Business processes,Control Plane Operations,High,FALSE,"Woven by Toyota built an internal developer platform that provisions/de-provisions thousands of devs and guest companies (Panasonic/Denso) just-in-time into 8-10 dev tools (GitHub, Artifactory, etc.) with IP...",,Are they building/operating a platform control plane that provisions/manages other systems/tenants via APIs and policy?,Gong call 3257343229574672396: 'we're trying to consolidate that into a single platform ... we can just simply provision them into different tools ...,3,48000,,Toyota software arm. Internal dev platform that provisions/deprovisions devs+guest cos just-in-time into 8-10 tools w/ entit…

0065f00000PX1pfAAD,Netflix,Netflix - DP Flink,Tom Kadlick,Infrastructure applications,Data Pipelines & ETL,Medium,TRUE,"Details ""Managing Flink Jobs"" — Apache Flink is a stream data-processing engine, so orchestrating Flink jobs primarily moves/transforms streaming data. Competing read is Infra Automation (operating the jobs)...",,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details: ""Managing Flink Jobs (see replay talk)""; opp Name ""Netflix - DP Flink"" (DP = data platform/pipeline).",1,46260,,Streaming/entertainment; opp = 'Managing Flink Jobs' (Flink=stream data processing). Data-move read vs infra-operation read …

006UY00000NcIl4YAF,Alaska Airlines,Alaska Airlines - Bookings,Micah Manzano,Business Transactions,Order Management & Fulfillment,High,FALSE,"Opp details state all Alaska Air bookings run through Temporal. Gong confirms a flight booking flow: flight search hands off to a booking engine that takes cart state (itinerary, passengers, pricing) and tur...",,Is the primary outcome that an order gets completed correctly (placed → processed → fulfilled → delivered/returned)?,details 'All bookings for Alaska Air are running through Temporal'; Gong call 4528012429543760627: 'we are rebuilding our booking flow ... booking ...,3,45600,,

006UY000005f6UnYAI,Included Health,Included Health - Care Flow Tracker,Jessica McElroy,Entity Lifecycle Management,Other,Medium,TRUE,Generic business-process orchestration: a 'pizza tracker' for the patient care journey (appointment->xray->MRI->hospital->uber ride). Standard workflow orchestrator / airflow replacement spanning a service-d...,,Doesn't cleanly fit any above; needs a free-text description.,details: 'a collection of linked tasks that find their end in the delivery of a service for the client. Can be short to very long running workflows...,2,45000,,Included Health=virtual+in-person healthcare navigation. 'Pizza tracker' for patient care journey = generic service-delivery…

006UY000007fkZ8YAI,"Lumen Technologies, Inc.",Lumen - Network & Platform Automation - Blue Steel,Andrew Eidenshink,Infrastructure applications,Infrastructure Automation & CI/CD,High,FALSE,Lumen's 'network and platform automation team' uses Temporal to automate change execution (server config changes) and event-driven remediation of servers/network devices. Operating/changing infra = Infra Aut...,,"Is the primary outcome shipping/operating infra or software (deploy, provision, upgrade, rotate, rollback)?",Gong call 342082707306286248: 'our team called the... network and platform automation team' doing 'automating change execution... changes on server...,3,44400,,

0065f00000PWpZSAA1,Square,CashApp Plasma,Andrew Eidenshink,Infrastructure applications,Other,Low,TRUE,"Plasma is the state-machine framework behind all CashApp processing; the in-scope module adds extendible alerting for idle/abandoned workflows. It's a generic internal orchestration/monitoring framework, not...",,Doesn't cleanly fit any above; needs a free-text description.,details: 'Plasma is the State machine that is behind all CashApp processing... a new module that leverages Temporal for allowing people to be alert...,1,42420,,"Plasma = generic CashApp state-machine framework + idle/abandoned-workflow alerting. Internal orchestration framework, not a…"

0065f00000JdJFhAAN,Logixboard Inc,Logixboard – Expansion,Nikolas Filardo,Business processes,Other,Low,TRUE,Generic platform-replacement deal: 'replacement of systems that previously leveraged Kinesis Lambdas and Camunda' (BPM orchestrator + stream processing). No specific product-domain outcome (not payments/logi...,,Doesn't cleanly fit any above; needs a free-text description.,details 'Full ramp of replacement of systems that previously leveraged Kinesis Lambdas and Camunda'; Gong call 3018042191132296011 (CS check-in): '...,3,42000,,"Freight-forwarder SaaS replacing Camunda BPM + Kinesis Lambdas; generic multi-process platform replacement, no single produc…"

006UY00000D31L3YAJ,Instacart,Instacart - Caper,Alex Mark,Human-In-The-Loop Approval Workflows,AI - Processing Pipelines,High,FALSE,"Caper is Instacart's AI computer-vision smart cart; workload reviews items detected in the cart with human intervention. This is data (cart items/images) run through AI recognition/classification models, not...",,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","details 'Caper cart human in the loop cart review'; Doc ""Instacart Caper Use Case"": 'Caper smart cart - need to review items in cart with human int...",2,42000,,Caper = AI computer-vision smart cart. Opp details + doc both 'review items in cart with human intervention' = data/images t…

006UY00000F42CIYAZ,Vantage,Vantage - Sidekiq Replacement,Xander Stephens,Business processes,Data Pipelines & ETL,High,FALSE,"Opp name 'Sidekiq Replacement' + details 'Sidekiq replacement' are generic, but the use-case doc (correct account, 11/12 section matching CreatedDate) shows the Sidekiq workloads ARE the core ETL pipeline: i...",,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","Doc ""Vantage - Use case sheet"": 'Migrating background job processing (especially complex, long-running ETL workflows) from Sidekiq to Temporal'; 'T...",2,42000,,Cloud-cost-mgmt SaaS. Doc: Temporal is core ETL moving customer cost data into ClickHouse for reporting + export; 'ETL workf…

006UY00000CMY2XYAX,SoFi,SoFi - money-risk-fraud,Sean Dunbar,"Identity Verification / ""Know Your Customer""",Other,Medium,TRUE,"Opp 'money-risk-fraud', Details 'Fraud detection for money movement'. Primary outcome is fraud/risk detection, not money moving correctly (Payment) nor new-customer KYC onboarding (legacy KYC value misleads)...",,Doesn't cleanly fit any above; needs a free-text description.,"details 'Fraud detection for money movement'; legacy 'Identity Verification / KYC' but workload is fraud detection, not onboarding",1,41059.92,,Details 'Fraud detection for money movement'. Fraud/risk has no dedicated category; clean non-fit -> Other. Lift Low->Medium.

0065f00000KSioWAAT,HashiCorp,HashiCorp - Expand - Self Hosted Migration,Alex Mark,Infrastructure applications,Infrastructure Automation & CI/CD,Medium,TRUE,Details: managing/spinning up nomad clusters and the HashiStack that HCP/TFC run on = provisioning/operating infra. Tie-break vs Control Plane (it provisions the stack other products run on) keeps it Medium;...,,"Is the primary outcome shipping/operating infra or software (deploy, provision, upgrade, rotate, rollback)?",details: 'manage nomad clusters in support of Terraform Cloud. It spins up the HashiStack that HCP and TFC run on'; legacy Use_case__c='Infrastruct...,1,39000,,HashiCorp=multi-cloud infra automation. Details: manage/spin up nomad clusters + HashiStack that HCP/TFC run on. Infra-provi…

006UY000004NOvQYAW,Stripe,Stripe - bin-sponsor-eligibility,Conrad Vogel,Business processes,Financial Services & Lending,Low,TRUE,"No Details/doc. Name 'bin-sponsor-eligibility' = BIN-sponsor (bank issuer-sponsorship) eligibility, a regulated card-program approval/eligibility workflow beyond raw payment processing. Plausible competing: ...",,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,"Opp Name 'Stripe - bin-sponsor-eligibility'; Use_case__c 'Business processes'; Details null, Doc null; no datable Gong calls near CreatedDate 2024-02.",3,39000,,Null fields; name = BIN-sponsor eligibility (card-program issuer-sponsorship). Web confirms domain but type ambiguous (KYB o…

006UY00000AcvxBYAR,Neon,Neon - Payday Loan,Adam Levine,Loan Origination,Financial Services & Lending,High,FALSE,Payroll advance / payday loans — a regulated lending product workflow.,,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,"details ""Payroll advance loans""",1,38772,,

0065f00000KSbe8AAD,Stripe,Stripe - Automation,Conrad Vogel,Business processes,Other,Low,TRUE,Linked doc 'Automation Use Case' describes a migration/consolidation deal: Platform Team moving self-hosted Temporal production workflows to Temporal Cloud to offload ops. No specific business domain; detail...,,Doesn't cleanly fit any above; needs a free-text description.,Doc 'Automation Use Case': 'move self hosted production workflow / use case to Temporal Cloud to free up resources and offload operational workload...,2,38400,,Doc = migration/consolidation deal: Platform Team moving self-hosted Temporal prod workflows to Cloud. No business domain; d…

0065f00000NHozdAAD,"AppFolio, Inc",Appfolio- BPMN Engine (realm)- Expansion,Jessica McElroy,Business processes,Other,Medium,TRUE,AppFolio Realm team's workload is a generic customer-configurable BPMN/workflow execution engine (an in-house DSL where AppFolio's 18k property-mgmt customers define their own business workflows). It's a hor...,,Doesn't cleanly fit any above; needs a free-text description.,"details: 'Realm Team- led by Sebastian- Replacing clunky BPMN engine ... supporting their 18k customers.' Doc ""Appfolio Meeting Notes"": 'Use Case: ...",2,36600,,"Cloud RE property-mgmt SaaS. Realm = generic customer-configurable BPMN/workflow engine (in-house DSL); horizontal engine, n…"

006UY000002q8LJYAY,HackerRank,HackerRank - Integrations,Alex Mark,Business processes,Data Pipelines & ETL,High,FALSE,Opp details anchor on integrating/syncing with external applicant tracking systems (ATS) via async workflows — moving data between HackerRank and external systems. Doc reframes it as a broad orchestration pl...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details 'centralize and manage integrations and asynchronous workflows with applicant tracking systems (ATS)'; Doc ""HackerRank_PaltformTeam"": broad...",2,36000,,HackerRank=dev hiring/assessment platform. Opp's own details cleanly anchor to syncing/integrating with external ATS systems…

006UY000008lF5RYAU,Kotak Mahindra Bank Pvt Ltd,Kotak - Transaction Approval System  (workload),Ayush Asthana,Business processes,Payment Processing & Settlement,High,FALSE,"Opp name 'Transaction Approval System' = TAS, the bank's branch-counter cash deposit/withdrawal transaction system (Tier-1, first project live per the doc). Primary outcome is money moving correctly at the b...",,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)? Includes payment gateway integrations.","Doc ""Kotak Use Case Summary"": 'Branch transformation (Transaction Authorization System [TAS]) (1st project to be live)'. Gong call 7124706873529728...",3,36000,,

006UY00000EsXmvYAF,Kotak Mahindra Bank Pvt Ltd,Kotak customer journeys/onboarding,Ayush Asthana,Loan Origination,Financial Services & Lending,Medium,TRUE,"Legacy tag 'Loan Origination' + Gong describe a consumer loan / retail-asset lending workflow (business loans, E-sign). Opp name says 'customer journeys/onboarding' but no KYC/identity signal exists in any s...",,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,"Gong call 5388663306833028492: 'consumer loan processing related use case workflow, that we have to implement anyway.' Gong call 712470687352972898...",3,36000,,"Kotak = Indian bank. Conflicting signals: name=onboarding, details=service-request automation, Gong=consumer/business loan p…"

006UY00000GtyggYAB,HDFC Ltd.,HDFC API modernisation,Ayush Asthana,Workflows,Other,Low,TRUE,"Opp is 'HDFC API modernisation', details just 'API mgt'. No clean primary outcome maps to a litmus. Account doc is payments/CIF-centric and does not enrich an API-management workload; Gong calls (Jan-2025 Cr...",,Doesn't cleanly fit any above; needs a free-text description.,"details 'API mgt'; Gong calls 1439991440589768807 / 1842852420832791241 only use 'API' as a code term (codec, event sourcing, Nexus) - no API-manag...",3,36000,,"HDFC=bank. Opp='API modernisation', details just 'API mgt'; Gong only uses API as code term (Nexus/codec), no bounded produc…"

006UY00000Z5Um6YAF,Blocks,Blocks - Blocks - Workflow orchestration engine,Jesse Malik,Other,Other,Medium,TRUE,"Generic, configurable workflow-orchestration engine: Temporal is the 'core orchestration engine' running user-defined DSL logic, schedulers, and time-based triggers/reminders. No single product outcome — it's a horizontal engine powering arbitrary customer-defined workflows, which is the catch-all.",,Doesn't cleanly fit any above; needs a free-text description.,"Details: 'core orchestration engine for their platform, dynamic DSL-based workflows that execute user-defined logic, power schedulers, time-based triggers'. Other_Detail: DSL engine + task scheduling + time-based triggers.",1,36000,,

0065f00000Lkm7uAAB,Chase ICB,Chase ICB Customer Onboarding/Credit Origination/Account Transfers,Stuart Herd,Business processes,Financial Services & Lending,Medium,TRUE,"Chase ICB 'borrow' multi-workload opp (onboarding + credit origination + account transfers). Gong shows the dominant, highest-volume Temporal use is consumer credit-card origination / originating lines of cr...",,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,Gong call 1245/431: 'we use Temporal for as part of the origination process ... When we are originating lines of credit. We are also starting to lo...,3,35154,,JPM consumer-bank multi-workload (onboarding+credit origination+transfers). Gong: dominant use = consumer credit/line-of-cre…

006UY00000M0hgDYAR,SoFi,SoFi - Expand - Growth Platform - Campaign Growth & Automation,Sean Dunbar,Lifecycle Management,Communications & Marketing Platform,Medium,TRUE,"Rich Details: self-service 'Journey Platform' modeled on Airbnb journey orchestration; marketing teams build referral/campaign journeys (enrollment, evaluation, reward payouts) without engineering. Primary o...",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?",details 'self-service Journey Platform modeled after Airbnb's journey orchestration ... Referral campaigns ... reward payouts to promoters and pros...,1,33600,,

006UY00000XPebzYAD,Postman Inc,Postman Inc - Version Control,Ayush Asthana,Workflows,Infrastructure Automation & CI/CD,Medium,TRUE,"VCS for Postman collections using Temporal for async merges/diffs and auto-syncing forked collections. Primary outcome is operating software version-control tooling (merge/version operations), not data sync....",,"Is the primary outcome shipping/operating infra or software (deploy, provision, upgrade, rotate, rollback)?","details: 'Version Control System (VCS) for Postman collections... asynchronous merges and diffs... auto-syncing forked collections, which triggers ...",1,33600,,"API-platform co; opp = VCS for Postman collections (async merges/diffs, auto-sync forked collections). Operating software ve…"

006UY00000KLbnSYAT,Lindy.ai,Lindy AI - Email Automation,Alex Bonakdar,AI/ML Orchestration,AI - Agents,High,FALSE,"Lindy is an AI workflow-automation platform (""Zapier but with AI""). The email-automation opp = an inbound-email trigger spins up a Temporal workflow that runs the AI agent to decide/execute tasks per email. ...",,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","Gong call 4772363581655655398 (near CreatedDate 2025-04-16): 'lindy... it's basically a workflow automation platform... like a zapier, but with AI....",3,33240,,

006UY000005EfoQYAS,Glovo,Glovo - Logistics Aggregated Features,Stuart Herd,Operational Process,Data Pipelines & ETL,High,FALSE,Orchestration aggregates/transforms feature data across services; ML models are downstream consumers (not inf...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details ""orchestration ... to aggregate features used in various Logistics ML...",1,32940,,

006UY00000QIE7BYAX,Personio,Personio - HR Custom workflows,Mael Ropars,Business processes,Other,Medium,TRUE,Personio's 'Workflows and Integration' team builds a generic customer-defined HR workflow product (e.g. send a birthday card on an employee's birthday) inside their SaaS. No single primary outcome matching a...,,Doesn't cleanly fit any above; needs a free-text description.,Gong call 531637554747780762: 'another team whose name is Workflows and Integration ... build a kind of a workflow product for new customers. Thing...,3,32868,,HR SaaS; 'Workflows & Integration' team ships a customer-defined HR workflow product (e.g. birthday card). Gong-confirmed ge…

006UY00000L0QstYAF,Intuit,Content Safety,Collin Cook,Workflows,AI - Processing Pipelines,High,FALSE,Content-safety / image & content scanning is a fixed pipeline running media through AI models for moderation/classification. Legacy 'Workflows' value was generic; opp Name + Details point at exactly one type...,,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?",Name 'Content Safety' + details 'Image and content scanning' = media/content classification pipeline through AI models. Gong: only one ABORTED call...,1,31200,,

006UY00000XllenYAB,Forward Financing,Forward Financing - Cross-service workflows orchestration,Jesse Malik,Other,Other,Medium,TRUE,"Company is a lender, but the WORKLOAD is generic cross-service orchestration / monolith-to-microservices modernization (polyglot Rails/Go/Python, Sidekiq replacement, async HTTP). Doc confirms no specific regulated lending product workflow orchestrated; it's a horizontal engine. Anchor to opp's own generic description, not company vertical.",,Doesn't cleanly fit any above; needs a free-text description.,"Details: 'orchestrate long-running, cross-service workflows across multiple applications (Rails, Go, Python)... net-new, long-running and complex workloads.' Doc: app-to-app over HTTP -> event-driven; Sidekiq replacement; Other_Detail='Orchestration'.",2,31200,,

006UY00000awGinYAE,Auger,Auger - Internal Operational & Infrastructure (Shinchan Namespace),Zac Bischoff,Other,Other,Low,TRUE,"Genuine multi-workload internal-ops namespace: onboarding + infra provisioning (Terraform/CDKTF) + auto-logging with delivery guarantees, plus migration of homegrown pipelines. No single dominant outcome; Other_Detail='Microservice orchestration'. No doc; Gong has no calls (emails only).",,Doesn't cleanly fit any above; needs a free-text description.,"Details: 'Internal operational pipelines including customer onboarding workflows, infrastructure provisioning workflows (Terraform/CDKTF), and an auto-logging flow... migrate homegrown pipelines.' Other_Detail: Microservice orchestration. Gong: no calls.",3,30564,,

0065f00000JbeYLAAZ,HDFC Ltd.,HDFC Banking - eParty Service Platform (workload),Ayush Asthana,Business Transactions,Data Pipelines & ETL,High,FALSE,Opp name anchors to 'eParty'. Multi-workload HDFC doc's eParty/Enterprise CIF section describes building a customer golden record and propagating writes from write-store to read-store and out to downstream s...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?",Doc 'HDFC Temporal Use Case Discovery Guide': 'Enterprise CIF programme - golden record for customer. Using Temporal to propagate write store to re...,2,30000,,"HDFC=bank. Doc eParty/CIF section anchored to opp name: build customer golden record, propagate writes from write-store to r…"

006UY000004cyyXYAQ,"Anchor Labs, Inc.",Anchorage Digitial-Self hosted Migration-Workload,Nikolas Filardo,Business processes,Other,Low,TRUE,"Self-hosted Temporal -> Cloud migration deal spanning the whole platform (hundreds of workflow types, generic 'microservice orchestration backing core platform' / SAGA). Per migration-deal rule it spans many...",,Doesn't cleanly fit any above; needs a free-text description.,"details 'Microservice orchestration / critical business functions'; Doc ""Anchor Labs"": Use Case = 'Migration of self-hosted workload', 'Microservic...",2,30000,,"Anchorage=crypto custody. Self-hosted->Cloud migration of whole platform (hundreds of workflow types, generic microservice/S…"

006UY00000SNYddYAH,Checkr,Checkr - Progressive Reports,Ben Luger,Workflows,Customer Onboarding & Identity Verification,Medium,TRUE,Checkr is a background-check/employment-screening platform; 'Progressive Reports' is its feature that streams partial screening results as checks complete. Background screening = verifying a person before on...,,Is the primary outcome getting a new customer verified + onboarded (KYC/KYB + activation)?,details 'Progressive reports' + Name 'Checkr - Progressive Reports' (Checkr = background-check vendor; progressive report = staged delivery of scre...,3,30000,,Checkr = background-check/employment-screening platform; Progressive Reports streams partial screening results. Company cont…

0065f00000OR2V8AAL,Snap,Snap - Atlas - Soft User Delete (OSS Migration),Conrad Vogel,Business processes,Data Pipelines & ETL,High,FALSE,Opp details 'soft delete of snap user or content data' matches doc's named 'Soft (user) delete pipeline' for regulatory compliance. Primary outcome is moving/purging user+content data across systems. OSS-mig...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?",details 'soft delete of snap user or content data'; Doc: 'Soft (user) delete pipeline (largest by far). 4k qps. User deletion. User services team (...,2,29915.04,,"Opp details + renewal doc both name it: 'Soft (user) delete pipeline' (Atlas/user-services, 4k qps, regulatory compliance) -…"

006UY000008reFdYAI,JOKR Services,Jokr – Order Management,Nate Blumenthal,Business processes,Order Management & Fulfillment,High,FALSE,"Both opp Name (""Jokr - Order Management"") and Details (""Order managment"") directly and consistently name order management as the workload. Legacy value ""Business processes"" is generic and superseded. No comp...",,Is the primary outcome that an order gets completed correctly (placed → processed → fulfilled → delivered/returned)?,"details ""Order managment""; name ""Jokr – Order Management""",1,28872,,

006UY00000NF9qZYAT,Intuit,Intuit - Monetization and Subscriptions,Collin Cook,Business processes,Payment Processing & Settlement,Medium,TRUE,"Subscription and billing workflows (QuickBooks/TurboTax) center on recurring charging/billing = money moving correctly. Best fit is Payment Processing & Settlement, though 'monetization/subscriptions' could ...",,"Is the primary outcome 'money moves correctly' (auth, capture, settlement, reconciliation)? Includes payment gateway integrations.","details 'Subscription and billing workflows for Intuit - Quickbooks, Turbotax are initial targets.' Subscription billing = recurring charge/capture...",1,28800,,"Intuit = QuickBooks/TurboTax fin software. 'Subscription and billing workflows' = recurring charge/capture, but monetization…"

006UY000004FjfJYAS,Square,CashApp: OS Activity,Andrew Eidenshink,Business processes,Data Pipelines & ETL,High,FALSE,Loanstar batch-processes the day's transactions and writes them to the Activity service to be displayed on the customer's Activity feed. Primary outcome is moving/transforming transaction data between system...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?",details: 'Cash's loan service (loanstar) processes a batches of transactions for the day and writes to the activity service to be displayed on the ...,1,27766.2,,Loanstar batch-processes daily transactions and writes them to the Activity feed = moving/transforming data between systems.…

006UY0000087pvdYAA,SoFi,Sofi - Affiliate Team,Sean Dunbar,Business processes,Communications & Marketing Platform,Low,TRUE,"Opp 'Affiliate Team' has null Details, no doc, CreatedDate 2024-05; legacy 'Business processes' generic. Affiliate-marketing program work most plausibly = campaign/marketing orchestration, but signal is name...",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?",Name 'Sofi - Affiliate Team'; Details null; Doc null; no usable evidence,1,27753.96,,"null Details, name 'Affiliate Team' ambiguous (partner/referral program vs comms). Name-only, no clean litmus. Stuck: thin."

006UY000000iwEnYAI,Yum Brands,Yum Brands - Curie Orders (US Pizza Hut),Sean Dunbar,Business Transactions,Order Management & Fulfillment,High,FALSE,Opp name 'Curie Orders (US Pizza Hut)' and Details 'OMS' (Order Management System) both point directly at order processing/fulfillment. No competing type.,,Is the primary outcome that an order gets completed correctly (placed → processed → fulfilled → delivered/returned)?,details 'OMS'; name 'Yum Brands - Curie Orders (US Pizza Hut)',1,27000,,

0065f00000JcSNQAA3,Yum Brands,"Yum Brands - Alpha Orders (US TacoBell, KFC)",Sean Dunbar,Business Transactions,Order Management & Fulfillment,High,FALSE,Name 'Alpha Orders' and lead detail 'Orders use case - expand to Taco Bell and Pizza Hut'; Payments/Menu are secondary scope under the orders program. Gong confirms order workflows are the core build (every ...,,Is the primary outcome that an order gets completed correctly (placed → processed → fulfilled → delivered/returned)?,details 'Orders use case - expand to Taco Bell and Pizza Hut'; Gong call 4362403964962931228: 'order management systems... every order is a workflo...,3,26640,,

